N,Error,SNESSolve,KSPSolve,PCSetUp,PCApply,SNESJacobianEval,SNESFunctionEval,CreateSparsity
8,1.714343e+00,1.136017e-02,6.368399e-03,5.469799e-03,8.876324e-04,1.735449e-03,3.105164e-03,0.000000e+00
16,1.538214e+00,4.749703e-02,3.218961e-02,2.897501e-02,3.196001e-03,9.850025e-03,4.847288e-03,1.766133e-02
32,1.537181e+00,2.128007e-01,1.727436e-01,1.589124e-01,1.379967e-02,2.793288e-02,9.861708e-03,7.758212e-02
64,1.540367e+00,1.102664e+00,9.630151e-01,9.044411e-01,5.850148e-02,1.002288e-01,3.031588e-02,4.254892e-01
128,1.536065e+00,5.824484e+00,5.281964e+00,5.024031e+00,2.574892e-01,3.871508e-01,1.157553e-01,2.044561e+00
