N,Error,SNESSolve,KSPSolve,PCSetUp,PCApply,SNESJacobianEval,SNESFunctionEval,CreateSparsity
8,2.832969e+00,8.320093e-03,4.130363e-03,3.320694e-03,7.989407e-04,9.899139e-04,3.094673e-03,0.000000e+00
16,2.740187e+00,2.841616e-02,1.690340e-02,1.398158e-02,2.905846e-03,6.633997e-03,4.577875e-03,8.524656e-03
32,1.537238e+00,1.254966e-01,9.997249e-02,8.929944e-02,1.064849e-02,1.518059e-02,9.253502e-03,3.610253e-02
64,1.613818e+00,6.535208e-01,5.713224e-01,5.261126e-01,4.515409e-02,4.979992e-02,2.823782e-02,1.890023e-01
128,1.534861e+00,3.401779e+00,3.093498e+00,2.905595e+00,1.877477e-01,1.869168e-01,1.040211e-01,9.324861e-01
