1,8,208,0.079945831,0.253083532
1,16,800,0.040053691,0.126074615
1,32,3136,0.020036614,0.062977206
1,64,12416,0.010019518,0.031481036
1,128,49408,0.00500991,0.01573957
2,8,608,0.007556901,0.012852436
2,16,2368,0.001897792,0.00319671
2,32,9344,0.000474992,0.000798241
2,64,37120,0.000118782,0.000199503
2,128,147968,2.97E-05,4.99E-05
3,8,1136,0.000477327,0.000438613
3,16,4448,5.99E-05,5.34E-05
3,32,17600,7.50E-06,6.64E-06
3,64,70016,9.37E-07,8.28E-07
3,128,279296,1.17E-07,1.03E-07
4,8,1856,2.26E-05,1.18E-05
4,16,7296,1.42E-06,6.77E-07
4,32,28928,8.88E-08,4.13E-08
4,64,115200,5.55E-09,2.56E-09
4,128,459776,3.47E-10,1.60E-10
5,8,2768,8.61E-07,3.87E-07
5,16,10912,2.70E-08,1.13E-08
5,32,43328,8.45E-10,3.47E-10
5,64,172672,2.64E-11,1.08E-11
5,128,689408,8.25E-13,3.37E-13
6,8,3872,2.74E-08,2.11E-08
6,16,15296,4.29E-10,3.24E-10
6,32,60800,6.71E-12,5.05E-12
6,64,242432,1.05E-13,8.00E-14
6,128,968192,4.71E-15,2.75E-14
