1,8,208,0.079945831,0.253083532
1,16,800,0.040053691,0.126074615
1,32,3136,0.020036614,0.062977206
1,64,12416,0.010019518,0.031481036
1,128,49408,0.00500991,0.01573957
2,8,800,0.004054915,0.012762247
2,16,3136,0.001015405,0.003191453
2,32,12416,0.000253956,0.000797918
2,64,49408,6.35E-05,0.000199483
2,128,197120,1.59E-05,4.99E-05
3,8,1776,0.000134629,0.00042331
3,16,7008,1.69E-05,5.30E-05
3,32,27840,2.11E-06,6.62E-06
3,64,110976,2.63E-07,8.28E-07
3,128,443136,3.29E-08,1.03E-07
4,8,3136,3.33E-06,1.05E-05
4,16,12416,2.08E-07,6.55E-07
4,32,49408,1.30E-08,4.09E-08
4,64,197120,8.15E-10,2.56E-09
4,128,787456,5.09E-11,1.60E-10
5,8,4880,6.58E-08,2.07E-07
5,16,19360,2.06E-09,6.46E-09
5,32,77120,6.43E-11,2.02E-10
5,64,307840,2.01E-12,6.31E-12
5,128,1230080,6.29E-14,2.02E-13
6,8,7008,1.08E-09,3.39E-09
6,16,27840,1.69E-11,5.31E-11
6,32,110976,2.64E-13,8.29E-13
6,64,443136,4.55E-15,4.75E-14
6,128,1771008,2.11E-15,9.10E-14
